LIFEFORM,FAMILY,GENUS,SPECIES,sp,SP6,sum_part1,sum_part2,sum_part5,n_years,n_traps,total_seeds_sum,proportion_abscised_median,proportion_abscised_mean
SHRUB,Solanaceae,Lycianthes,maxonii,LYCM,LYCIMA,NA,1,NA,1,1,0,NA,NA
UNDERSTORY,Rubiaceae,Macrocnemum,roseum,MACG,MACRGL,91,315,NA,10,4,0,NA,NA
LIANA,Fabaceae,Machaerium,kegelii,MACK,MACHKE,3,2,5,7,8,0,NA,NA
TREE,Sapotaceae,Manilkara,bidentata,MANB,MANIBI,NA,NA,1,1,1,0,NA,NA
SHRUB,Euphorbiacea,Margaritaria,nobilis,Mar-02,MARGNO,1,NA,NA,1,1,0,NA,NA
LIANA,Apocynaceae,Mesechites,trifida,MEST,MESETR,NA,16,NA,8,6,0,NA,NA
UNDERSTORY,Myrtaceae,Myrcia,gatunensis,MYRG,MYRCGA,NA,21,2,7,11,0,NA,NA
MIDSTORY,Lauraceae,Nectandra,purpurea,NECP,NECTPU,NA,2,NA,2,2,0,NA,NA
TREE,Bombacaceae,Ochroma,pyramidale,OCHP,OCHRPY,NA,920,NA,25,86,0,NA,NA
LIANA,Apocynaceae,Odontadenia,macrantha,ODOM,ODO1MA,NA,11,NA,5,9,0,NA,NA
LIANA,Apocynaceae,Odontadenia,puncticulosa,ODOP,ODO1PU,NA,18,1,10,15,0,NA,NA
UNDERSTORY,Moraceae,Trophis,caucana,OLMA,OLMEAS,3,50,2,12,17,0,NA,NA
LIANA,Sapindaceae,Paullinia,pinnata,PAU5,PAULPI,NA,3,NA,3,3,0,NA,NA
SHRUB,Rubiaceae,Pentagonia,macrophylla,PENM,PENTMA,NA,93,NA,7,9,0,NA,NA
UNDERSTORY,Moraceae,Perebea,xanthochyma,PERX,PEREXA,NA,16,1,10,9,0,NA,NA
TREE,Fabaceae:Mim,Abarema,macradenia,PITM,PIT1MA,10,4,NA,4,4,0,NA,NA
SHRUB,Rubiaceae,Posoqueria,latifolia,POSL,POSOLA,1,27,1,11,17,0,NA,NA
TREE,Sapotaceae,Pouteria,stipitata,POU2,POUTST,4,8,14,12,7,0,NA,NA
SHRUB,Piperaceae,Piper,cordulatum,PPCO,PIPECO,NA,NA,5,2,2,0,NA,NA
LIANA,Apocynaceae,Prestonia,portobellens,PREP,PRESPO,1,38,NA,19,28,0,NA,NA
UNDERSTORY,Myrtaceae,Psidium,friedrichsth,PSIF,PSIDFR,NA,6,NA,2,2,0,NA,NA
SHRUB,Rubiaceae,Psychotria,brachybotrya,PYB2,PSYCB2,NA,1,NA,1,1,0,NA,NA
SHRUB,Rubiaceae,Psychotria,deflexa,PYDE,PSYCDE,3,27,NA,8,16,0,NA,NA
SHRUB,Rubiaceae,Psychotria,tenuifolia,PYG2,PSYCG2,NA,13,NA,5,6,0,NA,NA
SHRUB,Rubiaceae,Psychotria,grandis,PYG3,PSYCG3,NA,35,NA,10,22,0,NA,NA
SHRUB,Rubiaceae,Psychotria,limonensis,PYLI,PSYCLI,4,15,NA,6,11,0,NA,NA
SHRUB,Rubiaceae,Psychotria,psychotriifo,PYPS,PSYCPS,NA,1,NA,1,1,0,NA,NA
SHRUB,Rubiaceae,Psychotria,racemosa,PYRA,PSYCRA,45,465,NA,17,56,0,NA,NA
TREE,Araliaceae,Schefflera,morototoni,SCHM,SCH2MO,13,700,NA,25,89,0,NA,NA
UNDERSTORY,Malpighiacea,Spachea,membranacea,SPAM,SPACME,NA,8,NA,5,6,0,NA,NA
TREE,Sterculiacea,Sterculia,apetala,STEA,STERAP,NA,44,NA,14,27,0,NA,NA
LIANA,Bignoniaceae,Stizophyllum,riparium,STIR,STIZRI,6,223,NA,29,47,0,NA,NA
LIANA,Loganiaceae,Strychnos,darienensis,STRD,STRYDA,1,7,1,7,8,0,NA,NA
UNDERSTORY,Myrsinaceae,Stylogyne,turbacensis,STYS,STYLST,2,30,NA,12,27,0,NA,NA
UNDERSTORY,Fabaceae:Pap,Swartzia,simplex_var.,SWA1,SWARS1,2,8,NA,5,5,0,NA,NA
TREE,Anacardiacea,Tapirira,guianensis,TAPG,TAPIGU,NA,1,NA,1,1,0,NA,NA
SHRUB,Apocynaceae,Thevetia,ahouai,THEA,THEVAH,NA,1,NA,1,1,0,NA,NA
UNDERSTORY,Rubiaceae,Tocoyena,pittieri,TOCP,TOCOPI,NA,58,NA,17,24,0,NA,NA
MIDSTORY,Meliaceae,Trichilia,pleeana,TRI2,TRI2PL,NA,18,7,7,11,0,NA,NA
UNDERSTORY,Staphyleacea,Turpinia,occidentalis,TURO,TURPOC,8,191,NA,16,33,0,NA,NA
SHRUB,Asteraceae,Vernonanthur,patens,VERP,VERNPA,1,8,NA,2,7,0,NA,NA
LIANA,Vitaceae,Vitis,tiliifolia,VITT,VITITI,11,24,NA,9,15,0,NA,NA
UNDERSTORY,Flacourtiace,Xylosma,oligandra,XYLO,XYL2OL,4,17,NA,2,4,0,NA,NA
